cycle_id,pond_id,species_id,total_seed,area,initial_age,limit_weight_per_area,target_cultivation_day,target_size,pond_size,padat_tebar,total_feed,avg_feed_per_day,avg_growth_feed,size_harvest,weight_harvest,total_harvested,selling_price,cycle_lead_time,harvest_time,total_seed_type_actual,total_seed_type_gross,total_seed_type_net,pond_name_A,pond_name_A1,pond_name_A2,pond_name_A3,pond_name_A4,pond_name_Other,survival_rate,survival_rate_pred,avg_body_weight,avg_body_weight_pred
10984,23687,1,70000,1000.0,0,1.25,120,45.0,1000.01,70000623.0,226.0,3.28,-0.03,75.0,150.0,11250,10275000,71,71,0,1,0,0,0,0,0,0,1,16.07,18.36,6.92,7.5011356263913544
10985,23695,1,100000,1000.0,0,1.25,120,45.0,1000.01,100000890.0,401.0,10.84,0.14,270.0,200.0,54000,4200000,37,37,0,0,1,0,0,0,0,0,1,54.0,54.44,2.3,3.1372976945953437
11017,23694,1,50000,1000.0,0,1.25,120,45.0,1000.01,50000445.0,1243.0,11.62,0.04,259.5,898.4,49328,73538750,109,109,0,1,0,0,0,0,0,0,1,98.66,96.98,10.32,11.567801485208399
11042,23717,1,100000,1100.0,0,1.25,120,45.0,1099.98,109997600.0,325.0,4.64,0.06,399.0,225.59,25341,13797200,71,71,0,1,0,0,0,0,0,0,1,25.34,25.32,4.73,5.79096068083084
11044,23711,1,110000,2000.0,0,1.25,120,45.0,2000.02,220001892.0,425.4,6.86,0.02,110.0,450.0,49500,21825000,68,68,0,0,1,0,0,0,0,0,1,45.0,45.41,5.27,6.310515047337391
11080,23710,1,188700,1500.0,0,1.25,120,45.0,1499.91,283032790.56,575.0,9.91,0.0,160.0,212.0,33920,8900000,60,59,0,0,1,0,0,0,0,0,1,17.98,19.4,4.63,4.962075397119652
11081,23703,1,115600,1100.0,0,1.25,120,45.0,1099.98,127157225.6,626.1,8.82,-0.03,64.0,252.0,16128,18182769,72,72,0,0,1,0,0,0,0,0,1,13.95,15.28,5.82,7.560134873073033
11149,20894,1,70000,1500.0,0,1.2,120,45.0,1499.91,104993616.0,306.45,8.06,0.12,175.0,250.0,43750,9500000,39,39,0,0,1,0,0,0,0,0,1,62.5,60.8,5.1,4.906672945280841
11168,20895,1,70000,1500.0,0,1.25,120,45.0,1499.91,104993616.0,880.45,11.14,0.02,472.0,650.0,68500,40395000,82,82,0,0,1,0,0,0,0,0,1,97.86,94.36,10.84,9.493497686216857
11225,25354,1,90000,800.0,0,1.25,120,45.0,799.84,71985906.0,700.0,8.75,0.0,203.0,437.7,29598,23008690,81,81,0,0,1,0,0,0,0,0,1,32.89,33.76,4.88,6.750092919426351
